WORD,DEFINITION
to,a
of,de
in,en
is,es
it,eso
on,sobre
as,como
to be,ser
or,o
at,en
we,nosotros
by,por
he,él
if,si
to do,hacer
my,mi
so,tan
up,arriba
no,no
to go,ir
and,y
for,para
you,tú
to can,poder
but,pero
all,todos
one,uno
his,su
out,afuera
our,nuestro
who,quién
her,su
new,nuevo
she,ella
to get,recibir
how,cómo
any,algún
now,ahora
way,manera
two,dos
to use,utilizar
to see,ver
day,día
own,propio
off,apagado
too,también
few,pocos
why,por qué
to say,decir
end,final
to put,poner
old,viejo
big,grande
to let,dejar
man,hombre
top,parte superior
God,Dios
yet,todavía
far,lejos
to try,intentar
job,trabajo
car,coche
to buy,comprar
men,hombres
to pay,pagar
to run,correr
law,ley
web,web
due,debido
bad,malo
air,aire
age,edad
to ask,preguntar
low,bajo
key,llave
to add,añadir
funny,divertido
that,ese
with,con
this,esto
to have,tener
your,tu
from,de
they,ellos
more,más
when,cuándo
what,qué
also,también
time,tiempo
some,algunos
to like,gustar
just,solo
than,que
only,solamente
most,la mayoría
many,muchos
to make,hacer
then,entonces
well,bien
very,muy
over,por encima
even,incluso
good,bueno
to work,trabajar
to know,saber
much,mucho
to need,necesitar
back,atrás
such,tal
to take,tomar
here,aquí
year,año
to help,ayudar
to want,querer
best,mejor
life,vida
each,cada
made,hecho
home,casa
down,abajo
used,usado
to find,encontrar
both,ambos
last,último
same,mismo
to look,mirar
long,largo
part,parte
to come,venir
high,alto
to love,amar
next,siguiente
free,libre
to give,dar
to be able,ser capaz
to keep,mantener
sure,seguro
once,una vez
days,días
away,lejos
area,área
to feel,sentir
to read,leer
to show,mostrar
city,ciudad
site,sitio
team,equipo
game,juego
body,cuerpo
case,caso
real,real
care,cuidado
less,menos
book,libro
week,semana
fact,hecho
food,comida
full,completo
name,nombre
data,datos
done,hecho
left,izquierda
open,abierto
side,lado
to play,jugar
hard,difícil
to live,vivir
line,línea
past,pasado
plan,plan
call,llamada
hand,mano
easy,fácil
four,cuatro
to form,formar
room,habitación
head,cabeza
kind,tipo
mind,mente
seen,visto
cost,costo
face,cara
to tell,decir
list,lista
type,tipo
idea,idea
news,noticias
upon,sobre
page,página
five,cinco
true,cierto
main,principal
move,movimiento
hope,esperanza
turn,giro
view,vista
their,su
there,ahí
about,acerca de
which,cuál
other,otro
these,estos
first,primero
after,después
where,dónde
years,años
those,aquellos
while,mientras
great,genial
to think,pensar
right,correcto
world,mundo
still,todavía
every,cada
since,ya que
place,lugar
three,tres
never,nunca
state,estado
again,otra vez
under,debajo
water,agua
money,dinero
small,pequeño
often,a menudo
thing,cosa
order,orden
group,grupo
point,punto
times,veces
along,a lo largo
house,casa
today,hoy
start,comienzo
local,local
power,poder
until,hasta
women,mujeres
large,grande
based,basado
level,nivel
night,noche
least,menos
given,dado
offer,oferta
music,música
quite,bastante
early,temprano
later,luego
story,historia
known,conocido
young,joven
whole,entero
light,ligero
human,humano
event,evento
to learn,aprender
price,precio
to check,verificar
video,vídeo
among,entre
hours,horas
above,encima
major,mayor
white,blanco
media,medios de comunicación
black,negro
to study,estudiar
value,valor
short,corto
taken,tomado
heart,corazón
space,espacio
child,niño
to share,compartir
to close,cerrar
to bring,traer
areas,áreas
games,juegos
party,fiesta
month,mes
words,palabras
people,gente
before,antes de
really,de verdad
around,alrededor
little,pequeño
things,cosas
during,durante
online,en línea
system,sistema
better,mejor
always,siempre
number,número
family,familia
within,dentro
school,escuela
health,salud
though,aunque
course,curso
public,público
to become,convertirse
person,persona
change,cambio
enough,suficiente
market,mercado
second,segundo
others,otros
social,social
design,diseño
simply,simplemente
energy,energía
to create,crear
credit,crédito
almost,casi
taking,tomando
future,futuro
rather,más bien
months,meses
please,por favor
either,ya sea
office,oficina
center,centro
issues,cuestiones
inside,adentro
access,acceso
reason,razón
simple,sencillo
amount,cantidad
to search,buscar
result,resultado
alive,vivo
likely,probable
common,común
report,informe
single,soltero
season,temporada
to matter,importar
because,porque
through,mediante
another,otro
between,entre
however,sin embargo
without,sin
company,empresa
service,servicio
support,apoyo
against,en contra
program,programa
to provide,proveer
looking,mirando
several,varios
process,proceso
already,ya
thought,pensamiento
quality,calidad
project,proyecto
whether,si
example,ejemplo
to include,incluir
website,sitio web
problem,problema
country,país
members,miembros
to control,controlar
to believe,creer
usually,generalmente
started,empezado
someone,alguien
special,especial
product,producto
nothing,nada
history,historia
friends,amigos
current,actual
general,general
million,millón
results,resultados
natural,natural
various,varios
certain,seguro
instead,en lugar
medical,médico
business,negocio
services,servicios
children,niños
actually,en realidad
together,juntos
students,estudiantes
research,investigación
possible,posible
products,productos
national,nacional
personal,personal
although,a pesar de que
anything,cualquier cosa
training,formación
probably,probablemente
building,edificio
industry,industria
everyone,todo el mundo
internet,internet
addition,adición
problems,problemas
to continue,continuar
question,pregunta
to interest,interesar
different,diferente
something,algo
important,importante
available,disponible
including,incluyendo
community,comunidad
companies,compañías
education,educación
according,conforme
financial,financiero
insurance,seguro
experience,experiencia
government,gobierno
everything,todo
management,administración
university,universidad
especially,especialmente
to understand,entender
particular,particular
technology,tecnología
information,información
development,desarrollo
international,internacional
according,gemäß
financial,Finanz-
insurance,Versicherung
experience,Erfahrung
government,Regierung
everything,alles
management,Verwaltung
university,Universität
especially,insbesondere
to understand,verstehen
particular,besonders
technology,Technologie
information,Information
development,Entwicklung
international,International
technology,Technologie
information,Information
development,Entwicklung
international,International
