WORD,DEFINITION
to make,fazer
to get,para obter
to use,usar
to say,dizer
to go,ir
to take,pegar
to see,ver
to know,saber
to find,encontrar
to think,pensar
to work,trabalhar
to come,vir
to want,querer
to need,precisar
to give,dar
to include,incluir
to help,ajudar
to provide,fornecer
to look,olhar
to start,para iniciar
to create,para criar
to try,tentar
to become,tornar-se
to keep,manter
to write,escrever
to read,ler
to call,chamar
to feel,sentir
to follow,seguir
to tell,contar
to learn,aprender
to show,mostrar
to ask,perguntar
to add,adicionar
to put,colocar
to offer,oferecer
to mean,significar
to allow,permitir
to leave,deixar
to like,gostar
to run,para correr
to pay,pagar
to bring,trazer
to seem,parecer
to build,construir
to live,viver
to let,deixar
to set,pôr
to love,amar
to require,para exigir
to receive,receber
to lead,liderar
to develop,desenvolver
to change,mudar
to continue,continuar
to play,jogar
to begin,começar
to consider,considerar
to hold,segurar
to support,suportar
to move,mover
to believe,acreditar
to base,basear
to happen,acontecer
to understand,para entender
to buy,comprar
to grow,crescer
to turn,virar
to meet,encontrar
to increase,para aumentar
to share,compartilhar
to spend,gastar
to send,enviar
to hear,ouvir
to talk,falar
to serve,servir
to choose,escolher
to involve,envolver
to improve,melhorar
to lose,perder
to enjoy,para curtir
to expect,esperar
to decide,decidir
to sell,vender
to focus,focar
to speak,falar
to apply,aplicar
to post,para postar
to appear,aparecer
to remain,para permanecer
to design,para projetar
to produce,para produzir
to hope,ter esperança
to join,para juntar
to accord,a conceder
to cover,cobrir
to stop,parar
to remember,lembrar
to cause,causar
to reduce,reduzir
to manage,gerenciar
to save,salvar
to watch,assistir
to check,checar
to ensure,para garantir
to reach,alcançar
to pass,passar
to open,abrir
to visit,visitar
to report,reportar
to drive,dirigir
to agree,concordar
to publish,publicar
to present,apresentar
to eat,comer
to end,para acabar
to raise,criar
to stay,ficar
to contain,conter
to win,ganhar
to please,agradar
to describe,descrever
to explain,explicar
to identify,para identificar
to wait,esperar
to break,quebrar
to discuss,discutir
to plan,planejar
to return,para retornar
to suggest,sugerir
to thank,agradecer
to seek,buscar
to stand,para ficar
to sit,sentar
to protect,proteger
to deliver,entregar
to relate,relatar
to teach,ensinar
to fall,cair
to carry,carregar
to enter,entrar
to place,colocar
to determine,para determinar
to complete,completar
to walk,andar
to face,encarar
to represent,representar
to remove,remover
to note,anotar
to establish,para estabelecer
to release,para liberar
to achieve,alcançar
to cut,cortar
to encourage,encorajar
to exist,existir
to prepare,preparar
to perform,executar
to pick,escolher
to mention,mencionar
to address,endereçar
to connect,conectar
to feature,apresentar
to maintain,manter
to operate,para operar
to promote,promover
to accept,aceitar
to recommend,recomendar
to affect,afetar
to fill,preencher
to compare,comparar
to avoid,evitar
to announce,anunciar
to enable,para ativar
to kill,matar
to fail,falhar
to miss,para faltar
to wish,desejar
to depend,depender
to sign,assinar
to die,morrer
to occur,ocorrer
to draw,desenhar
to attend,frequentar
to realize,realizar
to engage,se engajar
to discover,descobrir
to experience,experimentar
to define,definir
to explore,explorar
to prevent,prevenir
to bear,aguentar
to hit,acertar
to introduce,para apresentar
to contact,contactar
to collect,coletar
to recognize,reconhecer
to participate,participar
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
