WORD,DEFINITION
to,zu
of,von
in the,im
is,ist
it,es
on,auf
how,wie
to be,sein
or,oder
at the,beim
we,wir
by,durch
he,er
if,ob
to do,machen
my,mein
so,so
up,oben
no,nein
me,mir
us,uns
to go,gehen
and,und
for the,zum
you,Sie
to can,können
but,aber
all,alles
one,eins
his,sein
out,aus
our,unser
who,wer
her,ihr
new,neu
she,sie
to get,bekommen
how,wie
any,irgendein
now,jetzt
way,Weg
two,zwei
to use,benutzen
to see,sehen
him,ihm
day,Tag
own,besitzen
off,aus
too,auch
few,wenige
why,warum
to say,sagen
end,Ende
to put,stellen
old,alt
big,groß
to let,lassen
man,Mann
top,oben
God,Gott
yet,noch
far,weit
to try,versuchen
job,Job
car,Auto
to buy,kaufen
men,Männer
to pay,bezahlen
to run,rennen
law,Gesetz
web,Netz
due,fällig
bad,schlecht
air,Luft
age,Alter
to ask,fragen
low,niedrig
key,Schlüssel
to add,hinzufügen
fun,Spaß
that,das
with,mit
this,dies
to have,haben
your,Ihre
from,von
will,werden
they,sie
more,mehr
when,wann
what,was
also,ebenfalls
time,Zeit
some,etwas
to like,mögen
just,gerade
them,ihnen
into,hinein
than,als
only,nur
most,die meisten
many,viele
to make,machen
then,dann
well,gut
very,sehr
over,über
even,sogar
good,gut
to work,arbeiten
to know,wissen
much,viel
to need,brauchen
back,zurück
such,solche
to take,nehmen
here,hier
year,Jahr
to help,helfen
to want,wollen
best,bester
life,Leben
each,jeder
made,gemacht
home,Zuhause
down,hinunter
used,gebraucht
to find,finden
both,beide
last,zuletzt
same,gleich
to see,sehen
long,lang
part,Teil
to come,kommen
high,hoch
to love,lieben
next,nächster
free,kostenlos
to give,geben
to be able,fähig sein
to keep,behalten
sure,sicher
once,einmal
days,Tage
away,weg
area,Bereich
to feel,fühlen
to read,lesen
to show,zeigen
city,Stadt
page,Seite
team,Mannschaft
game,Spiel
body,Körper
case,Fall
real,echt
care,Pflege
less,weniger
book,Buch
week,Woche
fact,Tatsache
food,Lebensmittel
full,voll
name,Name
data,Daten
ever,je
done,erledigt
left,links
to open,öffnen
side,Seite
to play,spielen
